Month,UCSC: (United States)
2011-01,87
2011-02,85
2011-03,100
2011-04,90
2011-05,87
2011-06,69
2011-07,52
2011-08,50
2011-09,81
2011-10,79
2011-11,87
2011-12,50
2012-01,71
2012-02,74
2012-03,82
2012-04,95
2012-05,87
2012-06,71
2012-07,52
2012-08,51
2012-09,66
2012-10,81
2012-11,80
2012-12,58
2013-01,96
2013-02,82
2013-03,80
2013-04,87
2013-05,82
2013-06,64
2013-07,47
2013-08,49
2013-09,65
2013-10,74
2013-11,73
2013-12,52
2014-01,74
2014-02,65
2014-03,78
2014-04,81
2014-05,77
2014-06,64
2014-07,50
2014-08,48
2014-09,56
2014-10,84
2014-11,75
2014-12,54
2015-01,69
2015-02,62
2015-03,79
2015-04,89
2015-05,75
2015-06,58
2015-07,42
2015-08,44
2015-09,67
2015-10,72
2015-11,66
2015-12,42
2016-01,65
2016-02,64
2016-03,73
2016-04,67
2016-05,68
2016-06,53
2016-07,42
2016-08,43
2016-09,69
2016-10,65
2016-11,66
2016-12,43
2017-01,65
2017-02,60
2017-03,74
2017-04,69
2017-05,70
2017-06,60
2017-07,43
2017-08,45
2017-09,53
2017-10,74
2017-11,64
2017-12,43
2018-01,64
2018-02,63
2018-03,76
2018-04,73
2018-05,65
2018-06,56
2018-07,42
2018-08,42
2018-09,56
2018-10,64
2018-11,58
2018-12,43
2019-01,59
2019-02,62
2019-03,60
2019-04,65
2019-05,56
2019-06,53
2019-07,38
2019-08,39
2019-09,53
2019-10,57
2019-11,51
2019-12,38
2020-01,49
2020-02,52
2020-03,54
2020-04,41
2020-05,40
2020-06,40
2020-07,32
2020-08,32
2020-09,30
2020-10,24
2020-11,18
2020-12,17
2021-01,18
2021-02,20
2021-03,27
2021-04,25
2021-05,22
2021-06,23
2021-07,20
2021-08,24
2021-09,43
2021-10,33
2021-11,32
2021-12,21
2022-01,34
2022-02,42
2022-03,49
2022-04,57
2022-05,54
2022-06,39
2022-07,33
2022-08,47
2022-09,51
2022-10,46
2022-11,47
2022-12,30
2023-01,46
2023-02,46
