Inflation,Unemployment,InterestRate
1.157,5.7,2.91 
1.002,5.7,2.90 
0.916,5.6,3.18 
1.168,5.5,3.45 
1.248,5.6,3.52 
1.486,5.3,3.47 
1.805,4.9,3.46 
1.660,5.1,3.57 
1.726,4.9,3.81 
1.838,4.8,3.93 
1.778,4.4,3.84 
1.937,4.2,4.03 
2.131,4.0,4.59 
2.639,3.8,4.62 
3.143,3.8,4.80 
3.417,3.7,5.35 
3.288,3.9,4.72 
2.948,3.8,3.84 
2.931,3.8,4.21 
3.151,4.0,4.56 
3.753,3.7,5.00 
4.272,3.5,5.38 
4.328,3.7,5.31 
4.626,3.4,5.35 
4.553,3.4,6.14 
4.781,3.4,6.11 
5.282,3.5,7.00 
5.143,3.7,7.00 
5.538,3.9,7.87 
5.639,4.6,6.51 
4.953,5.0,6.45 
4.968,5.5,5.91 
5.092,5.9,4.44 
4.996,5.9,3.86 
5.210,6.0,5.40 
4.721,5.8,4.46 
4.854,5.8,3.38 
4.063,5.7,3.71 
3.980,5.6,3.98 
4.365,5.6,4.74 
4.029,4.9,5.41 
5.157,5.0,6.26 
6.190,4.8,8.01 
6.762,4.6,7.22 
7.561,5.1,7.77 
8.165,5.1,8.33 
9.445,5.5,7.55 
10.923,6.0,7.46 
11.180,8.1,6.26 
10.328,8.8,5.61 
8.993,8.6,6.13 
7.594,8.4,5.96 
6.353,7.9,4.87 
5.931,7.7,4.86 
5.383,7.8,5.23 
5.330,7.7,4.92 
5.913,7.5,4.62 
6.484,7.2,4.54 
6.530,6.9,5.19 
6.506,6.8,6.16 
6.474,6.4,6.44 
6.820,6.1,6.29 
7.187,6.2,7.01 
7.553,5.8,7.99 
7.746,5.9,9.35 
8.281,5.8,9.46 
8.637,5.7,9.24 
8.575,6.0,11.70 
8.957,6.3,12.00 
8.744,6.9,13.20 
8.973,7.8,8.06 
9.868,7.5,11.62 
10.337,7.5,15.02 
9.855,7.2,13.69 
9.376,7.2,14.95 
8.234,7.9,13.54 
6.950,8.6,12.28 
6.375,9.3,12.70 
5.907,9.8,11.35 
5.195,10.4,7.71 
4.622,10.4,7.86 
4.096,10.2,8.21 
3.718,9.4,9.08 
3.371,8.8,8.64 
3.765,8.0,8.90 
3.943,7.7,9.69 
3.735,7.5,10.12 
3.597,7.4,9.74 
3.497,7.3,7.76 
3.098,7.3,7.95 
2.748,7.4,7.08 
2.773,7.1,7.16 
2.127,6.7,7.07 
2.111,7.1,6.06 
2.270,7.0,5.83 
2.381,7.0,5.18 
2.665,6.6,5.43 
2.728,6.3,5.64 
2.890,6.1,5.69 
2.883,6.0,6.13 
2.901,5.7,5.81 
3.313,5.4,5.91 
3.720,5.4,6.73 
3.813,5.4,7.35 
4.060,5.4,8.27 
4.094,5.2,8.65 
3.572,5.2,7.88 
3.391,5.3,7.64 
3.565,5.4,7.64 
3.735,5.4,7.77 
3.993,5.5,7.62 
4.194,5.9,7.17 
4.045,6.4,6.22 
3.570,6.7,5.65 
3.392,6.8,5.58 
3.128,7.0,4.99 
2.613,7.3,3.80 
2.506,7.4,3.75 
2.190,7.7,3.21 
2.190,7.3,2.86 
2.241,7.3,3.00 
2.189,7.1,2.87 
2.214,6.9,3.04 
2.164,6.8,3.02 
2.099,6.6,2.98 
2.038,6.4,3.68 
2.132,6.1,4.33 
2.141,5.8,4.95 
2.189,5.6,5.71 
2.152,5.8,5.65 
2.010,5.7,5.42 
1.996,5.5,5.28 
1.938,5.6,5.00 
1.858,5.6,4.95 
1.932,5.5,5.15 
1.875,5.2,4.99 
1.842,5.3,5.03 
1.921,5.1,5.16 
1.701,4.9,5.05 
1.623,4.7,4.97 
1.260,4.6,5.04 
1.059,4.3,4.95 
1.154,4.5,4.96 
1.037,4.5,3.96 
1.313,4.3,4.34 
1.489,4.3,4.29 
1.466,4.3,4.55 
1.615,4.1,4.86 
1.957,4.0,5.32 
2.045,3.8,5.66 
2.289,4.0,5.96 
2.387,3.9,6.11 
2.314,4.2,5.15 
2.506,4.4,3.87 
2.231,4.6,3.51 
2.001,5.3,2.16 
1.669,5.7,1.65 
1.410,5.9,1.72 
1.530,5.8,1.68 
1.830,5.7,1.58 
2.177,5.8,1.17 
2.024,6.0,1.13 
2.139,6.2,0.90 
2.087,6.0,0.92 
2.236,5.7,0.88 
2.810,5.6,0.94 
2.996,5.5,1.33 
3.209,5.5,1.76 
3.287,5.3,2.33 
3.099,5.2,2.78 
3.400,5.0,3.22 
3.503,5.0,3.71 
3.311,4.7,4.24 
3.531,4.7,4.60 
3.249,4.7,4.95 
2.864,4.4,4.92 
3.274,4.6,4.98 
3.070,4.5,4.87 
2.628,4.7,4.82 
2.639,4.7,3.90 
2.113,5.0,2.75 
2.041,4.9,1.29 
2.489,5.8,1.63 
2.142,6.6,0.67 
1.938,7.8,0.13 
1.207,8.9,0.16 
0.509,9.5,0.18 
0.661,10.1,0.07 
0.603,9.7,0.06 
1.078,9.8,0.16 
1.368,9.5,0.16 
1.573,9.7,0.13 
1.830,9.0,0.15 
2.095,9.0,0.06 
2.383,9.1,0.04 
2.115,9.0,0.02 
